,Species,Weight,Length,Diagonal,Height,Width
0,a,242.0,25.4,30.0,11.52,4.02
1,a,290.0,26.3,31.2,12.48,4.3056
2,a,340.0,26.5,31.1,12.3778,4.6961
3,a,363.0,29.0,33.5,12.73,4.4555
4,a,430.0,29.0,34.0,12.444,5.134
5,a,450.0,29.7,34.7,13.6024,4.9274
6,a,500.0,29.7,34.5,14.1795,5.2785
7,a,390.0,30.0,35.0,12.67,4.69
8,a,450.0,30.0,35.1,14.0049,4.8438
9,a,500.0,30.7,36.2,14.2266,4.9594
10,a,475.0,31.0,36.2,14.2628,5.1042
11,a,500.0,31.0,36.2,14.3714,4.8146
12,a,500.0,31.5,36.4,13.7592,4.368
13,a,340.0,32.0,37.3,13.9129,5.0728
14,a,600.0,32.0,37.2,14.9544,5.1708
15,a,600.0,32.0,37.2,15.438,5.58
16,a,700.0,33.0,38.3,14.8604,5.2854
17,a,700.0,33.0,38.5,14.938,5.1975
18,a,610.0,33.5,38.6,15.633,5.1338
19,a,650.0,33.5,38.7,14.4738,5.7276
20,a,575.0,34.0,39.5,15.1285,5.5695
21,a,685.0,34.0,39.2,15.9936,5.3704
22,a,620.0,34.5,39.7,15.5227,5.2801
23,a,680.0,35.0,40.6,15.4686,6.1306
24,a,700.0,35.0,40.5,16.2405,5.589
25,a,725.0,35.0,40.9,16.36,6.0532
26,a,720.0,35.0,40.6,16.3618,6.09
27,a,714.0,36.0,41.5,16.517,5.8515
28,a,850.0,36.0,41.6,16.8896,6.1984
29,a,1000.0,37.0,42.6,18.957,6.603
30,a,920.0,38.5,44.1,18.0369,6.3063
31,a,955.0,38.5,44.0,18.084,6.292
32,a,925.0,39.5,45.3,18.7542,6.7497
33,a,975.0,41.0,45.9,18.6354,6.7473
34,a,950.0,41.0,46.5,17.6235,6.3705
35,a,40.0,14.1,16.2,4.1472,2.268
36,a,69.0,18.2,20.3,5.2983,2.8217
37,a,78.0,18.8,21.2,5.5756,2.9044
38,a,87.0,19.8,22.2,5.6166,3.1746
39,a,120.0,20.0,22.2,6.216,3.5742
40,a,0.0,20.5,22.8,6.4752,3.3516
41,a,110.0,20.8,23.1,6.1677,3.3957
42,a,120.0,21.0,23.7,6.1146,3.2943
43,a,150.0,22.0,24.7,5.8045,3.7544
44,a,145.0,22.0,24.3,6.6339,3.5478
45,a,160.0,22.5,25.3,7.0334,3.8203
46,a,140.0,22.5,25.0,6.55,3.325
47,a,160.0,22.5,25.0,6.4,3.8
48,a,169.0,24.0,27.2,7.5344,3.8352
49,a,161.0,23.4,26.7,6.9153,3.6312
50,a,200.0,23.5,26.8,7.3968,4.1272
51,a,180.0,25.2,27.9,7.0866,3.906
52,a,290.0,26.0,29.2,8.8768,4.4968
53,a,272.0,27.0,30.6,8.568,4.7736
54,a,390.0,31.7,35.0,9.485,5.355
55,a,270.0,26.0,28.7,8.3804,4.2476
56,a,270.0,26.5,29.3,8.1454,4.2485
57,a,306.0,28.0,30.8,8.778,4.6816
58,a,540.0,31.0,34.0,10.744,6.562
59,a,800.0,36.4,39.6,11.7612,6.5736
60,a,1000.0,40.0,43.5,12.354,6.525
61,a,55.0,14.7,16.5,6.8475,2.3265
62,a,60.0,15.5,17.4,6.5772,2.3142
63,a,90.0,17.7,19.8,7.4052,2.673
64,a,120.0,19.0,21.3,8.3922,2.9181
65,a,150.0,20.0,22.4,8.8928,3.2928
66,a,140.0,20.7,23.2,8.5376,3.2944
67,a,170.0,20.7,23.2,9.396,3.4104
68,a,145.0,21.5,24.1,9.7364,3.1571
69,a,200.0,23.0,25.8,10.3458,3.6636
70,a,273.0,25.0,28.0,11.088,4.144
71,a,300.0,26.0,29.0,11.368,4.234
72,a,5.9,8.4,8.8,2.112,1.408
73,a,32.0,13.7,14.7,3.528,1.9992
74,a,40.0,15.0,16.0,3.824,2.432
75,a,51.5,16.2,17.2,4.5924,2.6316
76,a,70.0,17.4,18.5,4.588,2.9415
77,a,100.0,18.0,19.2,5.2224,3.3216
78,a,78.0,18.7,19.4,5.1992,3.1234
79,a,80.0,19.0,20.2,5.6358,3.0502
80,a,85.0,19.6,20.8,5.1376,3.0368
81,a,85.0,20.0,21.0,5.082,2.772
82,a,110.0,21.0,22.5,5.6925,3.555
83,a,115.0,21.0,22.5,5.9175,3.3075
84,a,125.0,21.0,22.5,5.6925,3.6675
85,a,130.0,21.3,22.8,6.384,3.534
86,a,120.0,22.0,23.5,6.11,3.4075
87,a,120.0,22.0,23.5,5.64,3.525
88,a,130.0,22.0,23.5,6.11,3.525
89,a,135.0,22.0,23.5,5.875,3.525
90,a,110.0,22.0,23.5,5.5225,3.995
91,a,130.0,22.5,24.0,5.856,3.624
92,a,150.0,22.5,24.0,6.792,3.624
93,a,145.0,22.7,24.2,5.9532,3.63
94,a,150.0,23.0,24.5,5.2185,3.626
95,a,170.0,23.5,25.0,6.275,3.725
96,a,225.0,24.0,25.5,7.293,3.723
97,a,145.0,24.0,25.5,6.375,3.825
98,a,188.0,24.6,26.2,6.7334,4.1658
99,a,180.0,25.0,26.5,6.4395,3.6835
100,a,197.0,25.6,27.0,6.561,4.239
101,a,218.0,26.5,28.0,7.168,4.144
102,a,300.0,27.3,28.7,8.323,5.1373
103,a,260.0,27.5,28.9,7.1672,4.335
104,a,265.0,27.5,28.9,7.0516,4.335
105,a,250.0,27.5,28.9,7.2828,4.5662
106,a,250.0,28.0,29.4,7.8204,4.2042
107,a,300.0,28.7,30.1,7.5852,4.6354
108,a,320.0,30.0,31.6,7.6156,4.7716
109,a,514.0,32.8,34.0,10.03,6.018
110,a,556.0,34.5,36.5,10.2565,6.3875
111,a,840.0,35.0,37.3,11.4884,7.7957
112,a,685.0,36.5,39.0,10.881,6.864
113,a,700.0,36.0,38.3,10.6091,6.7408
114,a,700.0,37.0,39.4,10.835,6.2646
115,a,690.0,37.0,39.3,10.5717,6.3666
116,a,900.0,39.0,41.4,11.1366,7.4934
117,a,650.0,39.0,41.4,11.1366,6.003
118,a,820.0,39.0,41.3,12.4313,7.3514
119,a,850.0,40.0,42.3,11.9286,7.1064
120,a,900.0,40.0,42.5,11.73,7.225
121,a,1015.0,40.0,42.4,12.3808,7.4624
122,a,820.0,40.0,42.5,11.135,6.63
123,a,1100.0,42.0,44.6,12.8002,6.8684
124,a,1000.0,43.0,45.2,11.9328,7.2772
125,a,1100.0,43.0,45.5,12.5125,7.4165
126,a,1000.0,43.5,46.0,12.604,8.142
127,a,1000.0,44.0,46.6,12.4888,7.5958
128,a,200.0,32.3,34.8,5.568,3.3756
129,a,300.0,34.0,37.8,5.7078,4.158
130,a,300.0,35.0,38.8,5.9364,4.3844
131,a,300.0,37.3,39.8,6.2884,4.0198
132,a,430.0,38.0,40.5,7.29,4.5765
133,a,345.0,38.5,41.0,6.396,3.977
134,a,456.0,42.5,45.5,7.28,4.3225
135,a,510.0,42.5,45.5,6.825,4.459
136,a,540.0,43.0,45.8,7.786,5.1296
137,a,500.0,45.0,48.0,6.96,4.896
138,a,567.0,46.0,48.7,7.792,4.87
139,a,770.0,48.0,51.2,7.68,5.376
140,a,950.0,51.7,55.1,8.9262,6.1712
141,a,1250.0,56.0,59.7,10.6863,6.9849
142,a,1600.0,60.0,64.0,9.6,6.144
143,a,1550.0,60.0,64.0,9.6,6.144
144,a,1650.0,63.4,68.0,10.812,7.48
145,a,6.7,9.8,10.8,1.7388,1.0476
146,a,7.5,10.5,11.6,1.972,1.16
147,a,7.0,10.6,11.6,1.7284,1.1484
148,a,9.7,11.0,12.0,2.196,1.38
149,a,9.8,11.2,12.4,2.0832,1.2772
150,a,8.7,11.3,12.6,1.9782,1.2852
151,a,10.0,11.8,13.1,2.2139,1.2838
152,a,9.9,11.8,13.1,2.2139,1.1659
153,a,9.8,12.0,13.2,2.2044,1.1484
154,a,12.2,12.2,13.4,2.0904,1.3936
155,a,13.4,12.4,13.5,2.43,1.269
156,a,12.2,13.0,13.8,2.277,1.2558
157,a,19.7,14.3,15.2,2.8728,2.0672
158,a,19.9,15.0,16.2,2.9322,1.8792
